,Name,href
326,Westville Hell’s Kitchen,https://www.yelp.com/biz/westville-hells-kitchen-new-york
327,Osteria Delbianco,https://www.yelp.com/biz/osteria-delbianco-new-york
328,Best Bagel & Coffee,https://www.yelp.com/biz/best-bagel-and-coffee-new-york
329,Malibu Farm,https://www.yelp.com/biz/malibu-farm-new-york-2
330,The Osprey,https://www.yelp.com/biz/the-osprey-brooklyn
331,Merchants River House,https://www.yelp.com/biz/merchants-river-house-new-york
332,THEP Thai Restaurant,https://www.yelp.com/biz/thep-thai-restaurant-new-york-5
333,TONCHIN NEW YORK,https://www.yelp.com/biz/tonchin-new-york-new-york
334,The Warren,https://www.yelp.com/biz/the-warren-new-york
335,The Rag Trader & Bo Peep Cocktail and Highball Store,https://www.yelp.com/biz/the-rag-trader-and-bo-peep-cocktail-and-highball-store-new-york
336,The Mermaid Inn,https://www.yelp.com/biz/the-mermaid-inn-new-york-2
337,Mama’s Cupboard,https://www.yelp.com/biz/mama-s-cupboard-new-york-2
338,Black Tap - Midtown,https://www.yelp.com/biz/black-tap-midtown-new-york-3
339,Loeb Boathouse Central Park,https://www.yelp.com/biz/loeb-boathouse-central-park-new-york
340,Chez Ma Tante,https://www.yelp.com/biz/chez-ma-tante-brooklyn
341,Three Roosters,https://www.yelp.com/biz/three-roosters-new-york
342,Contento,https://www.yelp.com/biz/contento-new-york-city
343,Fig & Olive,https://www.yelp.com/biz/fig-and-olive-new-york-10
344,Woorijip,https://www.yelp.com/biz/woorijip-new-york-2
345,Clay,https://www.yelp.com/biz/clay-new-york-3
346,Ampersand,https://www.yelp.com/biz/ampersand-new-york-2
347,The Spaniard,https://www.yelp.com/biz/the-spaniard-new-york
348,American Brass On The Water,https://www.yelp.com/biz/american-brass-on-the-water-long-island-city
349,The Leroy House,https://www.yelp.com/biz/the-leroy-house-new-york-5
350,Donburiya,https://www.yelp.com/biz/donburiya-new-york-2
351,Le Crocodile,https://www.yelp.com/biz/le-crocodile-brooklyn
352,Angeletto Restaurant,https://www.yelp.com/biz/angeletto-restaurant-new-york
353,Wayan,https://www.yelp.com/biz/wayan-new-york-4
354,Ruby’s Cafe – East Village,https://www.yelp.com/biz/rubys-cafe-east-village-new-york
355,La Cabra NYC,https://www.yelp.com/biz/la-cabra-nyc-new-york
356,Peak,https://www.yelp.com/biz/peak-new-york-2
357,The Harrow New York,https://www.yelp.com/biz/the-harrow-new-york-new-york
358,Chez Ma Tante,https://www.yelp.com/biz/chez-ma-tante-brooklyn
359,Three Roosters,https://www.yelp.com/biz/three-roosters-new-york
360,Contento,https://www.yelp.com/biz/contento-new-york-city
361,Fig & Olive,https://www.yelp.com/biz/fig-and-olive-new-york-10
362,Woorijip,https://www.yelp.com/biz/woorijip-new-york-2
363,Clay,https://www.yelp.com/biz/clay-new-york-3
364,Ampersand,https://www.yelp.com/biz/ampersand-new-york-2
365,The Spaniard,https://www.yelp.com/biz/the-spaniard-new-york
366,Tradisyon,https://www.yelp.com/biz/tradisyon-new-york-2
367,American Brass On The Water,https://www.yelp.com/biz/american-brass-on-the-water-long-island-city
368,The Leroy House,https://www.yelp.com/biz/the-leroy-house-new-york-5
369,Bengal Tiger Indian Food,https://www.yelp.com/biz/bengal-tiger-indian-food-new-york
370,Uluh,https://www.yelp.com/biz/uluh-new-york
371,Rosemary’s,https://www.yelp.com/biz/rosemary-s-new-york
372,The Flatiron Room,https://www.yelp.com/biz/the-flatiron-room-new-york-3
373,Ivy Lane,https://www.yelp.com/biz/ivy-lane-new-york
374,Kokomo,https://www.yelp.com/biz/kokomo-brooklyn-2
375,Madre,https://www.yelp.com/biz/madre-brooklyn-2
376,Hole in the Wall,https://www.yelp.com/biz/hole-in-the-wall-new-york-9
377,Esme,https://www.yelp.com/biz/esme-brooklyn-2
378,Sukhumvit 51,https://www.yelp.com/biz/sukhumvit-51-new-york
379,Miss Ada,https://www.yelp.com/biz/miss-ada-brooklyn-2
380,Esme,https://www.yelp.com/biz/esme-brooklyn-2
381,Sukhumvit 51,https://www.yelp.com/biz/sukhumvit-51-new-york
382,Miss Ada,https://www.yelp.com/biz/miss-ada-brooklyn-2
